Periodos,IGAE
2021/10,108.2298177
2021/11,112.5419091
2021/12,112.6219839
2022/01,107.2700556
2022/02,105.5565997
2022/03,112.2438627
2022/04,109.6861605
2022/05,114.2686002
2022/06,112.7533372
2022/07,111.3702094
2022/08,113.0871997
2022/09,109.529333
2022/10,113.1213028
2022/11,116.3406061
2022/12,115.5770715
2023/01,112.0939435
2023/02,109.6132609
